;Albacete;Alicante;Almería;Avila;Badajoz;Barcelona;Bilbao;Burgos;Cáceres;Cádiz;Castellón;Ciudad Real;Córdoba;A Coruña;Cuenca;Gerona;Granada;Guadalajara;Huelva;Huesca;Jaén;León;Lérida;Logroño;Lugo;Madrid;Málaga;Murcia;Orense;Oviedo;Palencia;Pamplona;Pontevedra;Salamanca;S.Sebastián ;Santander;Segovia;Sevilla;Soria;Tarragona;Teruel;Toledo;Valencia;Valladolid;Vitoria;Zamora;Zaragoza
Albacete;0 km;171 km;369 km;366 km;525 km;540 km;646 km;488 km;504 km;617 km;256 km;207 km;354 km;860 km;142 km;640 km;363 km;309 km;506 km;495 km;264 km;584 km;515 km;578 km;762 km;251 km;473 km;150 km;772 km;702 km;491 km;598 km;874 km;463 km;691 km;644 km;338 km;492 km;473 km;443 km;242 km;240 km;191 km;444 km;602 km;499 km;423 km
Alicante;171 km;0 km;294 km;537 km;696 km;515 km;817 km;659 km;675 km;688 km;231 km;378 km;525 km;1,031 km;313 km;615 km;353 km;480 km;703 km;570 km;415 km;855 km;490 km;653 km;933 km;422 km;482 km;75 km;943 km;873 km;662 km;673 km;1,045 km;634 km;766 km;815 km;509 km;609 km;548 km;417 km;317 km;411 km;166 km;615 km;739 km;670 km;498 km
Almería;369 km;294 km;0 km;663 km;604 km;809 km;958 km;800 km;651 km;484 km;525 km;407 km;332 km;1,172 km;511 km;909 km;166 km;621 km;516 km;830 km;228 km;896 km;802 km;899 km;1,074 km;563 km;219 km;219 km;1,084 km;1,014 km;803 km;970 km;1,186 km;763 km;1,032 km;956 km;650 km;422 km;794 km;711 km;577 km;526 km;460 km;756 km;914 km;811 km;758 km
Avila;366 km;537 km;663 km;0 km;318 km;717 km;401 km;243 km;229 km;618 km;532 km;256 km;457 km;538 km;282 km;817 km;534 km;173 km;552 km;490 km;435 km;255 km;558 km;358 km;440 km;115 km;644 km;516 km;443 km;373 km;168 km;437 km;545 km;97 km;475 km;369 km;67 km;493 km;261 km;649 km;417 km;137 km;467 km;121 km;357 km;159 km;418 km
Badajoz;525 km;696 km;604 km;318 km;0 km;1,022 km;694 km;536 km;89 km;342 km;805 km;318 km;272 km;772 km;555 km;1,122 km;438 km;459 km;251 km;798 km;376 km;496 km;866 km;676 km;674 km;401 km;436 km;675 km;645 km;614 km;461 km;755 km;747 km;299 km;768 km;662 km;385 km;217 km;579 km;935 km;703 km;368 km;716 km;414 km;650 km;361 km;726 km
Barcelona;540 km;515 km;809 km;717 km;1,022 km;0 km;620 km;583 km;918 km;1,284 km;284 km;811 km;908 km;1,118 km;562 km;100 km;868 km;563 km;1,140 km;274 km;804 km;784 km;156 km;468 km;1,020 km;621 km;997 km;590 km;1,027 km;902 km;669 km;437 km;1,129 km;778 km;529 km;693 km;650 km;1,046 km;453 km;98 km;409 km;692 km;349 km;663 km;530 km;759 km;296 km
Bilbao;646 km;817 km;958 km;401 km;694 km;620 km;0 km;158 km;605 km;1,058 km;607 km;585 km;795 km;644 km;562 km;720 km;829 km;396 km;939 km;322 km;730 km;359 km;464 km;152 km;546 km;395 km;939 km;796 km;605 km;304 km;244 km;159 km;707 km;395 km;119 km;108 km;355 km;993 km;257 km;555 km;488 km;466 km;633 km;280 km;66 km;376 km;324 km
Burgos;488 km;659 km;800 km;243 km;536 km;583 km;158 km;0 km;447 km;900 km;524 km;427 km;637 km;535 km;404 km;683 km;671 km;238 km;781 km;359 km;572 km;201 km;427 km;115 km;437 km;237 km;781 km;638 km;447 km;322 km;86 km;203 km;549 km;237 km;232 km;156 km;197 km;775 km;141 km;518 km;372 km;308 km;517 km;122 km;114 km;218 km;287 km
Cáceres;504 km;675 km;651 km;229 km;89 km;918 km;605 km;447 km;0 km;369 km;701 km;324 km;319 km;683 km;451 km;1,018 km;485 km;355 km;323 km;694 km;423 km;407 km;762 km;595 km;585 km;297 km;506 km;654 km;556 km;525 km;372 km;650 km;658 km;210 km;679 km;573 km;296 km;264 km;490 km;831 km;599 km;264 km;636 km;325 km;561 km;272 km;622 km
Cádiz;617 km;688 km;484 km;618 km;342 km;1,284 km;1,058 km;900 km;369 km;0 km;873 km;464 km;263 km;1,072 km;708 km;1,384 km;335 km;721 km;219 km;1,060 km;367 km;796 km;1,128 km;999 km;974 km;663 km;265 km;613 km;945 km;914 km;761 km;1,070 km;1,047 km;599 km;1,132 km;1,056 km;750 km;125 km;894 km;1,059 km;873 km;583 km;808 km;714 km;1,014 km;661 km;988 km
